source_id,x_ref,y_ref,filename,obs_time,flux,flux_err,mag,mag_err,snr,sky_bkg,temporal_snr
26,927.872584,110.366658,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,4790.684432,71.472405,-9.200994,0.016198,67.028449,4.044067,17.993718
28,880.774087,114.162490,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,218061.361710,470.868003,-13.346447,0.002344,463.105074,46.540913,32.717488
33,661.146847,140.675554,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,3748.113870,63.447920,-8.934532,0.018379,59.073865,3.533553,13.860734
35,920.147012,150.744441,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,8782.841767,96.764135,-9.859088,0.011962,90.765466,7.390596,28.775412
36,602.787340,156.858526,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,7439.005774,88.495007,-9.678787,0.012916,84.061305,4.995689,24.357130
37,619.092573,169.192742,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,24380.531042,158.010228,-10.967608,0.007036,154.297170,7.470110,34.971487
38,861.541665,174.131087,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,11569.947747,110.254664,-10.158328,0.010346,104.938397,7.463007,30.278920
39,752.288649,185.149594,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,18177.835314,137.828459,-10.648855,0.008232,131.887387,10.425905,35.040294
42,984.056857,194.802823,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,13659.233293,117.730124,-10.338566,0.009358,116.021565,2.561107,30.702970
43,709.591071,197.689768,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2025-05-05T23:44:26,2774.810293,56.636152,-8.608083,0.022160,48.993623,5.511133,13.259126
